"","STATE","CA","COND","MG","Sodium","ANC","CL","NH4","NO3","NTL","PTL"
"119","OR",1924.6,404.1,1442.8,1196.6,4454.2,70.2,0.9,0,181.25,92.44625
"120","OR",321.4,66.22,213.5,130.5,586.8,8.7,0.4,0,113.75,10.7625
"121","OR",361.1,100.8,338.8,320.9,1022.4,23.1,0.6,0,270,61.8225
"122","OR",214.2,57.37,139.8,196.1,432.1,44.3,2,10,248.75,43.66
"123","OR",784.4,174.2,556,505,1728.2,30.2,1.2,1.4,229.375,12.70125
"124","OR",882.2,201.9,671.7,574.2,1929.9,37.2,0.6,0,223.75,11.82
"125","OR",1373.2,242.6,872.8,335.5,2589.1,26.5,0.6,0,291.875,19.77875
"126","OR",233.5,64.86,138.5,161,388,53.3,0.4,0,43.125,16.14125
"127","OR",179.4,35.3,86.8,93.2,354.7,18.6,1.8,1.4,219.375,9.06
"128","OR",1942.6,295,707.1,395.8,2440.4,34.4,0.6,26.4,526.875,39.98875
"129","OR",139.8,44.44,72.8,175,229.7,135.4,0.6,7.9,265,8.12375
"130","OR",367.5,96.72,200.4,456.3,916.5,13,1,3.6,210.625,15.04
"131","OR",1068.4,206.3,790.6,326.5,2229.4,20.9,0.9,1.4,136.875,43.72375
"132","OR",673.7,126.3,440.3,189.4,1299.2,13.8,0.4,2.1,115,28.22625
"133","OR",1405.2,300.5,854.3,901.7,2863.8,137.9,0.8,11.4,500,62.7125
"134","OR",1002,162.9,672.4,137.8,1690.8,7.3,0.4,0,36.875,9.355
"135","OR",183.2,39.09,143.3,74.9,377.6,4.5,0.7,1.4,68.125,4.18
"136","OR",473.5,110.6,354.4,267,1067.5,18.9,0.6,0,147.5,17.2025
"137","OR",253.7,52.55,114,161.5,491.2,14.7,0.9,1.4,127.5,30.78125
"138","OR",463.2,78.05,135.4,170.9,670.3,9.3,0.4,1.4,73.125,17.8
"139","OR",306.8,70.3,177.4,216,577.6,111.5,0.8,6.7,168.125,9.4875
